player_out,player_name,frequency
155,"A Flintoff",1
124,"A Kumble",1
430,"A Zampa",1
297,"AA Chavan",1
227,"AB Barath",1
330,"AP Majumdar",1
385,"BCJ Cutting",1
279,"BJ Haddin",1
348,"BMAJ Mendis",1
251,"C Madan",1
411,"C Munro",1
292,"CA Ingram",1
295,"CJ Ferguson",1
318,"CJ McKay",1
189,"D du Preez",1
99,"D Kalyankrishna",1
248,"DE Bollinger",1
263,"DJ Jacobs",1
175,"DL Vettori",1
123,"DT Patil",1
118,"GD McGrath",1
180,"GR Napier",1
256,"Harmeet Singh",1
287,"Harpreet Singh",1
84,"I Sharma",1
140,"Iqbal Abdulla",1
398,"J Suchith",1
283,"J Syed Mohammad",1
233,"J Theron",1
206,"Jaskaran Singh",1
346,"JD Unadkat",1
375,"JJ Bumrah",1
268,"JJ van der Wath",1
119,"Joginder Sharma",1
160,"Kamran Khan",1
239,"KB Arun Karthik",1
416,"KJ Abbott",1
418,"M Ashwin",1
389,"M de Lange",1
72,"MA Khote",1
341,"MDKJ Perera",1
328,"MJ Clarke",1
202,"Mohammad Ashraful",1
117,"Mohammad Asif",1
298,"ND Doshi",1
373,"NJ Maddinson",1
281,"NL McCullum",1
371,"NM Coulter-Nile",1
419,"NS Naik",1
75,"Pankaj Singh",1
366,"Parvez Rasool",1
405,"PJ Cummins",1
423,"PSP Handscomb",1
370,"PV Tambe",1
269,"R Ninan",1
342,"R Shukla",1
390,"R Tewatia",1
304,"RE Levi",1
323,"RJ Peterson",1
317,"RR Bhatkal",1
380,"RR Rossouw",1
219,"RS Gavaskar",1
388,"S Gopal",1
432,"S Kaushik",1
301,"S Rana",1
278,"S Randiv",1
77,"S Sreesanth",1
249,"S Sriram",1
397,"SA Abbott",1
186,"SB Jakati",1
16,"SB Joshi",1
273,"SB Wagh",1
179,"Shoaib Ahmed",1
144,"Shoaib Akhtar",1
156,"T Thushara",1
272,"TD Paine",1
417,"TM Head",1
92,"TM Srivastava",1
326,"V Pratap Singh",1
384,"VH Zol",1
78,"VRV Singh",1
91,"VY Mahesh",1
