player_name,total_runs
"SC Ganguly",1303
"R Dravid",2170
"W Jaffer",130
"V Kohli",3987
"B Akhil",76
"P Kumar",332
"Z Khan",113
"SB Joshi",6
"PA Patel",1868
"MS Dhoni",3270
"SK Raina",4083
"S Badrinath",1439
"K Goel",218
"Yuvraj Singh",2281
"IK Pathan",1079
"T Kohli",11
"YK Pathan",2719
"M Kaif",245
"RA Jadeja",1552
"M Rawat",55
"D Salunkhe",33
"SK Trivedi",42
"G Gambhir",3589
"V Sehwag",2702
"S Dhawan",3082
"RV Uthappa",3390
"PR Shah",92
"AM Nayar",672
"Harbhajan Singh",783
"Y Venugopal Rao",985
"VVS Laxman",282
"RG Sharma",3874
"SB Bangar",47
"RP Singh",52
"WP Saha",1304
"LR Shukla",386
"S Sohal",368
"PP Chawla",505
"WA Mota",56
"MA Khote",24
"A Nehra",41
"Pankaj Singh",7
"S Sreesanth",34
"VRV Singh",4
"SS Tiwary",1205
"DS Kulkarni",89
"R Vinay Kumar",296
"AB Agarkar",178
"M Kartik",111
"I Sharma",36
"AM Rahane",2529
"MK Tiwary",1324
"KD Karthik",2515
"R Bhatia",326
"MF Maharoof",177
"VY Mahesh",15
"TM Srivastava",8
"B Chipli",280
"DB Das",304
"MK Pandey",1800
"D Kalyankrishna",3
"SA Asnodkar",423
"AB Dinda",19
"S Vidyut",145
"DB Ravi Teja",375
"YV Takawale",192
"RR Raje",20
"PJ Sangwan",22
"Joginder Sharma",36
"MS Gony",97
"DT Patil",13
"A Kumble",35
"S Anirudha",136
"MM Patel",39
"A Chopra",53
"J Arunkumar",23
"PP Ojha",16
"SP Goswami",241
"SR Tendulkar",2329
"U Kaul",0
"A Mishra",291
"NK Patel",121
"Iqbal Abdulla",83
"PM Sarvesh Kumar",1
"DP Vijaykumar",1
"H Das",2
"SD Chitnis",99
"VS Yeligati",2
"L Balaji",36
"A Mukund",19
"RR Powar",65
"Kamran Khan",3
"R Bishnoi",19
"KV Sharma",268
"PC Valthaty",496
"AS Raut",173
"Yashpal Singh",27
"M Manhas",514
"AA Bilakhia",69
"AN Ghosh",7
"TL Suman",676
"KP Appanna",2
"NV Ojha",1466
"M Vijay",2490
"SB Jakati",28
"C Nanda",0
"A Singh",2
"Y Nagar",285
"SS Shaikh",6
"R Ashwin",229
"CA Pujara",390
"Anirudh Singh",63
"Jaskaran Singh",8
"AP Tare",321
"AT Rayudu",2325
"R Sathish",270
"AA Jhunjhunwala",217
"P Dogra",127
"A Uniyal",4
"MS Bisla",788
"YA Abdulla",0
"S Tyagi",3
"RS Gavaskar",2
"S Ladda",0
"S Narwal",37
"AB Barath",42
"Bipul Sharma",156
"FY Fazal",183
"MD Mishra",237
"UT Yadav",133
"SJ Srivastava",5
"R Sharma",66
"Mandeep Singh",897
"KM Jadhav",597
"KB Arun Karthik",46
"VS Malik",7
"A Mithun",34
"AP Dole",34
"AN Ahmed",36
"RS Sodhi",4
"S Sriram",31
"B Sumanth",35
"C Madan",15
"AG Paunikar",49
"STR Binny",676
"Harmeet Singh",18
"IR Jaggi",43
"RV Gomez",50
"MA Agarwal",781
"AUK Pathan",39
"UBT Chand",300
"Sunny Singh",43
"AL Menaria",401
"R Ninan",3
"S Aravind",27
"SB Wagh",2
"DH Yagnik",170
"J Syed Mohammad",28
"AG Murtaza",10
"Harpreet Singh",20
"I Malhotra",7
"L Ablish",0
"S Nadeem",24
"P Parameswaran",1
"VR Aaron",42
"AA Chavan",12
"ND Doshi",0
"B Kumar",154
"Y Gnaneswara Rao",19
"S Rana",91
"BA Bhatt",6
"SPD Smith",1212
"SA Yadav",472
"HV Patel",41
"Ankit Sharma",62
"RR Bhatkal",0
"N Saini",140
"P Negi",209
"A Ashish Reddy",266
"V Pratap Singh",0
"BB Samantray",125
"Gurkeerat Singh",342
"AP Majumdar",87
"PA Reddy",141
"K Upadhyay",12
"P Awana",5
"A Chandila",4
"Sunny Gupta",0
"MC Juneja",108
"KK Nair",842
"GH Vihari",236
"R Shukla",19
"AS Rajpoot",2
"M Vohra",728
"JD Unadkat",2
"Mohammed Shami",10
"SV Samson",1015
"KL Rahul",713
"R Dhawan",153
"IC Pandey",0
"CM Gautam",169
"X Thalaivan Sargunam",10
"MM Sharma",61
"UA Birla",7
"Parvez Rasool",17
"Sandeep Sharma",19
"S Kaul",9
"Sachin Baby",122
"PV Tambe",18
"AR Patel",367
"JJ Bumrah",9
"Shivam Sharma",5
"YS Chahal",2
"VH Zol",29
"Imran Tahir",18
"S Gopal",14
"R Tewatia",16
"Karanveer Singh",12
"SS Iyer",449
"DJ Hooda",276
"Anureet Singh",18
"J Suchith",48
"RG More",2
"HH Pandya",156
"SN Khan",132
"DJ Muthuswami",1
"SN Thakur",7
"Ishan Kishan",42
"P Sahu",19
"KH Pandya",237
"AD Nath",20
"M Ashwin",0
"NS Naik",23
"RR Pant",198
"KC Cariappa",13
"Swapnil Singh",0
"J Yadav",6
"BB Sran",4
"N Rana",104
"S Kaushik",0
"ER Dwivedi",24
"P Amarnath",0
"Gagandeep Singh",0
"AM Salvi",0
"RR Bose",0
"SS Sarkar",0
"RA Shaikh",0
"C Ganapathy",0
"MB Parmar",0
"AA Kazi",0
"Anand Rajan",0
"P Prasanth",0
"SS Mundhe",0
"TP Sudhindra",0
"P Suyal",0
"V Shankar",0
"Kuldeep Yadav",0
"DL Chahar",0
"P Dharmani",0
"RV Pawar",0
"KH Devdhar",0
"T Mishra",0
